3.515564375	0.001281039	1.051315789
3.706405984	0.001340952	1.051315789
3.907607385	0.001431202	1.051315789
4.119730959	0.001520246	1.051315789
4.343369612	0.001659864	1.051315789
4.827726465	0.002115967	1.051315789
5.089798492	0.002335225	1.051315789
5.36609704	0.002677002	1.051315789
5.657394391	0.003016646	1.051315789
5.964504752	0.003283502	1.051315789
6.288286529	0.003528812	1.051315789
6.629644726	0.003750384	1.051315789
6.989533474	0.003936312	1.051315789
7.368958701	0.004102028	1.051315789
7.768980939	0.004266674	1.051315789
8.190718293	0.004412568	1.051315789
8.635349563	0.004526618	1.051315789
9.10411754	0.004627003	1.051315789
9.59833248	0.004708746	1.051315789
10.11937576	0.004771233	1.051315789
10.66870376	0.004825028	1.051315789
11.24785191	0.004873266	1.051315789
11.85843898	0.004545	1.05132
12.50217163	0.00278885	1.051315789
13.18084916	0.002955933	1.051315789
13.89636854	0.003149605	1.051315789
14.65072973	0.003366698	1.051315789
15.44604124	0.00357077	1.051315789
16.28452606	0.003843876	1.051315789
17.16852784	0.004187943	1.051315789
18.10051744	0.004478905	1.051315789
19.0830999	0.004754155	1.051315789
20.11902161	0.005099033	1.051315789
21.2111781	0.006042588	1.051315789
22.36262205	0.00697402	1.051315789
23.57657188	0.007856292	1.051315789
24.85642069	0.008434651	1.051315789
26.20574581	0.008995385	1.051315789
27.62831873	0.009327103	1.051315789
29.1281157	0.009668864	1.051315789
30.7093288	0.009875322	1.051315789
32.37637769	0.010072669	1.051315789
34.13392195	0.010174783	1.051315789
35.9868741	0.010278064	1.051315789
37.94041334	0.010389618	1.051315789
40	0.01049201	1.051315789
		
